City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kodiak,1,US,1573346370,47,39.95,-94.76,55.99,8.05
xiuyan,96,CN,1573346659,66,40.29,123.27,43.83,7.05
saint-philippe,75,CA,1573346626,47,45.36,-73.48,36.0,11.41
port blair,50,IN,1573346467,74,11.67,92.75,81.48,3.94
port alfred,96,ZA,1573346659,88,-33.59,26.89,64.99,8.01
sabha,100,LY,1573346659,36,27.03,14.43,73.58,5.59
corigliano calabro,55,IT,1573346659,90,39.6,16.52,55.0,14.79
geraldton,90,CA,1573346659,92,49.72,-86.95,17.6,3.36
yellowknife,75,CA,1573346660,64,62.45,-114.38,-0.41,9.17
ahipara,100,NZ,1573346660,100,-35.17,173.16,72.0,5.99
shache,0,CN,1573346660,38,38.42,77.24,40.44,5.12
khatanga,100,RU,1573346654,96,71.98,102.47,-1.72,15.9
oksfjord,0,NO,1573346660,92,70.24,22.35,17.6,9.17
rundu,100,NA,1573346660,53,-17.91,19.77,75.2,8.05
mataura,100,NZ,1573346660,94,-46.19,168.86,50.0,4.0
walvis bay,0,NA,1573346661,87,-22.95,14.51,57.99,3.36
dhidhdhoo,1,MV,1573346661,66,6.88,73.1,81.81,4.16
lesnoye,76,RU,1573346661,95,51.57,42.77,37.0,5.99
takoradi,37,GH,1573346661,83,4.89,-1.75,79.99,6.2
jamestown,0,AU,1573346661,31,-33.21,138.6,65.59,3.96
puerto ayora,75,EC,1573346389,64,-0.74,-90.35,75.2,14.99
praya,75,ID,1573346574,74,-8.71,116.27,84.2,1.12
inhambane,93,MZ,1573346627,80,-23.87,35.38,74.08,11.72
natal,20,BR,1573346660,78,-5.81,-35.21,78.8,10.29
vaini,75,IN,1573346366,100,15.34,74.49,64.4,2.8
liverpool,75,GB,1573346662,93,53.41,-2.98,42.01,13.87
kapaa,40,US,1573346419,69,22.08,-159.32,80.6,8.05
jalu,76,LY,1573346662,25,29.03,21.55,73.44,10.71
atuona,3,PF,1573346386,76,-9.8,-139.03,80.04,12.1
henties bay,0,NA,1573346663,91,-22.12,14.28,57.99,4.0
arraial do cabo,100,BR,1573346663,91,-22.97,-42.02,74.3,12.06
bambous virieux,20,MU,1573346372,88,-20.34,57.76,70.0,4.7
matara,52,BI,1573346663,87,-3.48,29.48,58.82,4.5
mount isa,46,AU,1573346375,11,-20.73,139.49,82.4,13.87
punta arenas,0,CL,1573346418,65,-53.16,-70.91,46.4,6.93
qaanaaq,0,GL,1573346387,42,77.48,-69.36,-5.27,5.1
lompoc,1,US,1573346663,77,34.64,-120.46,73.99,12.75
narsaq,100,GL,1573346664,23,60.91,-46.05,48.2,41.38
souillac,38,FR,1573346664,93,45.6,-0.6,42.8,5.82
ossora,21,RU,1573346664,73,59.24,163.07,34.45,8.25
atambua,70,ID,1573346664,61,-9.11,124.89,83.32,2.55
nikolskoye,90,RU,1573346664,93,59.7,30.79,39.2,4.47
kulu,55,CD,1573346664,98,3.47,23.69,69.73,0.69
rikitea,100,PF,1573346664,75,-23.12,-134.97,73.26,9.33
cherskiy,0,RU,1573346379,87,68.75,161.3,-0.91,1.63
hobart,20,AU,1573346665,31,-42.88,147.33,63.0,18.34
burns lake,100,CA,1573346665,88,54.23,-125.76,26.38,6.31
zeya,90,RU,1573346665,90,53.74,127.27,4.8,6.51
ushuaia,40,AR,1573346431,52,-54.81,-68.31,44.6,6.93
cape town,0,ZA,1573346401,72,-33.93,18.42,64.99,5.82
hilo,1,US,1573346622,58,19.71,-155.08,87.8,11.41
ancud,100,CL,1573346442,93,-41.87,-73.83,51.8,5.82
bredasdorp,100,ZA,1573346632,82,-34.53,20.04,64.0,12.75
quatre cocos,20,MU,1573346409,88,-20.21,57.76,70.0,4.7
xiaoweizhai,100,CN,1573346666,82,26.23,107.51,53.37,3.13
oranjemund,31,ZA,1573346666,93,-28.55,16.43,58.55,3.71
vila velha,20,BR,1573346424,78,-3.71,-38.6,86.0,12.75
pontianak,20,ID,1573346666,88,-0.02,109.34,75.2,1.7
mangan,100,IN,1573346666,43,27.5,88.54,48.56,4.41
mar del plata,23,AR,1573346667,66,-46.43,-67.52,47.95,15.82
lufkin,1,US,1573346648,71,31.34,-94.73,53.6,1.77
khorol,21,UA,1573346667,92,49.78,33.27,50.07,10.07
barrow,16,AR,1573346422,64,-38.31,-60.23,50.18,8.95
ponta do sol,90,BR,1573346667,89,-20.63,-46.0,69.53,5.32
hermanus,76,ZA,1573346418,84,-34.42,19.24,64.0,11.99
price,1,US,1573346668,15,39.6,-110.81,59.0,1.81
datong,27,CN,1573346668,53,40.09,113.3,34.59,6.31
tambacounda,16,SN,1573346668,18,13.77,-13.67,84.69,4.83
klaksvik,100,FO,1573346443,60,62.23,-6.59,35.6,4.7
port moresby,40,PG,1573346668,78,-9.47,147.16,82.4,11.41
tessalit,100,ML,1573346668,24,20.2,1.01,78.39,4.65
acajutla,1,SV,1573346387,70,13.59,-89.83,84.92,9.82
iqaluit,40,CA,1573346669,84,63.75,-68.52,5.0,13.87
coquimbo,58,CL,1573346387,82,-29.95,-71.34,57.2,8.05
kaitangata,100,NZ,1573346393,88,-46.28,169.85,51.01,11.01
bathsheba,75,BB,1573346663,83,13.22,-59.52,80.6,21.92
thompson,40,CA,1573346669,84,55.74,-97.86,-0.41,2.24
poum,69,MK,1573346669,97,41.28,20.71,47.1,3.76
huescar,99,ES,1573346670,80,37.81,-2.54,54.0,5.01
majene,87,ID,1573346664,66,-3.54,118.97,82.85,2.39
karpathos,20,GR,1573346670,75,35.51,27.21,71.04,12.21
todos santos,100,MX,1573346407,75,23.45,-110.23,86.0,3.0
severo-kurilsk,85,RU,1573346670,88,50.68,156.12,31.71,27.07
goderich,97,CA,1573346467,79,43.74,-81.71,39.0,11.01
mishelevka,99,RU,1573346671,73,52.86,103.17,18.1,9.51
marawi,0,PH,1573346398,76,8.0,124.29,82.99,5.01
hamilton,75,CA,1573346638,64,43.26,-79.87,41.0,12.75
karasburg,0,NA,1573346671,28,-28.01,18.75,59.83,12.01
biak,100,ID,1573346519,73,-0.91,122.88,80.89,8.1
plettenberg bay,91,ZA,1573346656,81,-34.05,23.37,61.38,9.53
iraan,1,US,1573346671,63,30.91,-101.9,64.0,5.82
mataram,57,ID,1573346671,83,-5.32,105.06,74.01,5.82
cidreira,100,BR,1573346430,87,-30.17,-50.22,71.02,22.44
east london,99,ZA,1573346672,83,-33.02,27.91,64.71,13.56
ternovka,100,RU,1573346672,70,51.69,41.59,42.42,10.85
faanui,84,PF,1573346436,80,-16.48,-151.75,80.92,14.05
chuy,100,UY,1573346672,85,-33.69,-53.46,64.56,10.63
kandrian,100,PG,1573346673,93,-6.21,149.55,74.86,3.0
maxixe,93,MZ,1573346673,80,-23.86,35.35,74.08,11.72
carnarvon,100,ZA,1573346673,34,-30.97,22.13,62.74,3.71
sorong,78,ID,1573346392,76,-0.86,131.25,82.4,2.68
mackay,90,CA,1573346673,92,53.65,-115.58,14.0,3.36
arlit,20,NE,1573346673,11,18.74,7.39,83.16,7.7
aitape,100,PG,1573346674,75,-3.15,142.36,81.82,4.56
caucaia,20,BR,1573346674,78,-3.73,-38.66,86.0,12.75
albany,20,US,1573346480,34,42.65,-73.75,35.6,12.75
busselton,51,AU,1573346674,79,-33.64,115.35,69.01,7.0
arona,0,IT,1573346674,100,45.76,8.56,48.0,5.82
muros,40,ES,1573346472,93,42.77,-9.06,57.0,6.49
luba,75,PH,1573346675,85,17.32,120.7,76.89,2.57
kuruman,40,ZA,1573346675,32,-27.46,23.43,66.72,8.79
isangel,20,VU,1573346474,58,-19.55,169.27,84.2,6.93
bluff,4,AU,1573346676,12,-23.58,149.07,78.62,6.73
maceio,18,BR,1573346659,88,-9.67,-35.74,75.2,4.7
charters towers,2,AU,1573346676,18,-20.07,146.27,87.87,11.41
qixingtai,39,CN,1573346676,78,30.41,111.89,63.0,4.36
ketchikan,90,US,1573346658,93,55.34,-131.65,51.8,23.04
dingle,4,PH,1573346421,76,11.0,122.67,79.95,0.4
hof,0,DE,1573346676,86,50.32,11.92,35.01,5.32
vanavara,100,RU,1573346676,89,60.35,102.28,-6.74,10.47
tura,100,RU,1573346677,97,64.27,100.22,-10.77,4.27
upernavik,29,GL,1573346420,76,72.79,-56.15,13.12,9.62
sao filipe,96,CV,1573346677,82,14.9,-24.5,74.35,17.67
havre-saint-pierre,90,CA,1573346421,73,50.23,-63.6,23.0,12.75
urazovo,36,RU,1573346677,94,50.09,38.04,43.12,7.38
lorengau,100,PG,1573346438,78,-2.02,147.27,82.58,18.9
padang,71,ID,1573346678,88,-0.92,100.36,69.4,1.25
torbay,20,CA,1573346412,63,47.66,-52.73,35.01,19.46
naze,75,NG,1573346678,94,5.43,7.07,75.2,2.3
bonavista,45,CA,1573346671,72,48.65,-53.11,33.01,15.99
tuktoyaktuk,20,CA,1573346678,71,69.44,-133.03,5.0,18.34
wagar,0,US,1573346678,88,31.44,-87.99,53.01,3.89
grenfell,8,AU,1573346678,46,-33.9,148.16,62.78,11.92
dikson,100,RU,1573346391,94,73.51,80.55,10.47,14.72
sangar,100,RU,1573346679,77,63.92,127.47,-4.37,10.2
skibbereen,20,IE,1573346679,81,51.55,-9.27,42.8,13.87
tasiilaq,93,GL,1573346679,74,65.61,-37.64,33.8,44.96
jacareacanga,100,BR,1573346491,96,-6.22,-57.76,73.53,2.73
mercedes,27,UY,1573346679,75,-33.25,-58.03,71.01,14.0
palu,100,ID,1573346679,88,-0.9,119.87,72.63,1.05
nicoya,75,CR,1573346679,74,10.15,-85.45,80.6,16.11
saldanha,100,PT,1573346680,87,41.42,-6.55,42.1,10.87
alofi,3,NU,1573346680,65,-19.06,-169.92,82.4,16.11
west plains,1,US,1573346680,58,36.73,-91.85,57.2,4.7
lincoln,100,GB,1573346454,81,53.23,-0.54,44.6,13.87
sfantu gheorghe,51,RO,1573346680,100,44.65,26.83,60.01,4.7
hispania,75,CO,1573346680,93,5.8,-75.91,60.8,2.24
pisco,40,PE,1573346458,77,-13.71,-76.2,66.2,14.99
emerald,22,AU,1573346680,10,-23.53,148.16,80.6,12.75
umm lajj,0,SA,1573346681,50,25.02,37.27,77.99,6.67
fort nelson,90,CA,1573346681,60,58.81,-122.69,8.6,5.82
zermatt,89,CH,1573346681,74,46.02,7.75,42.01,4.7
port hedland,26,AU,1573346681,12,-20.31,118.58,98.6,10.29
tooele,1,US,1573346682,46,40.53,-112.3,55.4,5.82
avarua,35,CK,1573346682,74,-21.21,-159.78,78.8,9.17
evensk,100,RU,1573346682,84,61.92,159.24,23.52,33.38
chokurdakh,100,RU,1573346682,96,70.62,147.9,-4.46,6.2
bethel,40,US,1573346438,92,60.79,-161.76,30.2,13.87
coolum beach,0,AU,1573346682,21,-26.53,153.09,84.0,1.99
san andres,16,PH,1573346645,83,13.32,122.68,79.65,3.49
sengiley,90,RU,1573346682,92,53.96,48.79,28.4,6.71
rincon,75,PA,1573346683,94,8.46,-82.28,80.6,3.36
vostok,0,RU,1573346683,63,46.45,135.83,21.0,5.14
petropavlovsk-kamchatskiy,75,RU,1573346683,69,53.05,158.65,39.2,4.47
wajid,100,SO,1573346683,90,3.81,43.25,73.29,5.79
new norfolk,20,AU,1573346683,31,-42.78,147.06,63.0,18.34
